0	ENSG00000167074.9
NA18486	1.1959957130033
NA18487	2.06687594495216
NA18488	1.58972326207984
NA18489	1.68535646359358
NA18498	2.25381104730914
NA18499	1.80745858555675
NA18502	1.31498700679734
NA18505	2.14549980483883
NA18508	2.3938542028036
NA18510	2.19165755580155
NA18511	2.55138613999477
NA18517	1.14919986287038
NA18519	2.00161036869436
NA18520	2.80819231850246
NA18858	1.9622562220759
NA18861	2.20388013837424
NA18867	2.12892172999841
NA18868	1.86980832206357
NA18870	1.53914993858003
NA18873	1.39617559861735
NA18907	1.37809180589931
NA18908	2.21098575603332
NA18909	2.91511019384946
NA18910	2.46708751009037
NA18912	1.9070991693659
NA18916	1.6133124277109
NA18917	2.1537321961728
NA18923	1.30016258924676
NA18933	1.79335747218007
NA18934	1.68019684404153
NA19092	1.45921623620428
NA19093	1.93280830658045
NA19095	2.25060493017335
NA19096	2.18764407985866
NA19098	2.34056766270548
NA19099	2.27738267574668
NA19102	2.11647931099415
NA19107	1.43361659483895
NA19108	1.49064909293383
NA19113	1.94760318421214
NA19114	1.73697468567153
NA19116	2.00876826172067
NA19117	1.03699161857326
NA19118	1.46530882107361
NA19119	1.85291517853271
NA19121	1.06085236100219
NA19129	1.56612273061598
NA19130	1.71025169096391
NA19131	1.46481016755826
NA19137	1.5864121381476
NA19138	1.6606123243538
NA19141	1.8181472814015
NA19143	1.23975685850251
NA19144	1.64436207294452
NA19146	1.56882117900977
NA19147	0.77425811312792
NA19149	1.73667070580081
NA19150	1.9820743278038
NA19152	1.70898139048281
NA19153	1.53762793149207
NA19159	1.69120553201104
NA19160	1.86650926237104
NA19171	1.32980901012987
NA19172	2.57140927132398
NA19175	1.75871434046303
NA19184	2.00166927670423
NA19185	1.50292997504071
NA19189	1.89495631150451
NA19190	2.16843254539876
NA19197	1.15845776080005
NA19198	1.51144056693371
NA19200	1.54779916851094
NA19201	1.72652245819328
NA19204	1.62690965412597
NA19206	2.0332677698901
NA19207	1.5174031706919
NA19209	1.93427724386096
NA19210	1.9265145455478
NA19213	2.72503081427073
NA19214	1.76726443530197
NA19222	1.68867443948089
NA19223	2.47178380831069
NA19225	1.38797348822502
NA19235	1.55014661048169
NA19236	1.56671581116344
NA19247	1.09243172895988
NA19248	2.27911612487321
NA19256	2.39553404904749
NA19257	1.16227338748405
