ENSG00000260065.1	nan0651
ENSG00000244752.2	CRYBB2
ENSG00000185065.6	nan0656
ENSG00000070371.11	CLTCL1
ENSG00000206176.5	nan1765
ENSG00000198477.3	nan4773
ENSG00000100075.5	SLC25A1
ENSG00000237438.1	CECR7
ENSG00000226287.3	TMEM191A
ENSG00000099940.6	SNAP29
ENSG00000069998.8	HDHD5
ENSG00000243156.2	MICAL3
ENSG00000183307.3	TMEM121B
ENSG00000100031.14	GGT1
ENSG00000093010.7	COMT
ENSG00000128218.7	VPREB3
ENSG00000186716.14	BCR
ENSG00000093100.12	nan0012
ENSG00000128185.5	DGCR6L
ENSG00000099956.12	SMARCB1
ENSG00000128266.6	GNAZ
ENSG00000099974.7	DDTL
ENSG00000131100.8	ATP6V1E1
ENSG00000172404.4	DNAJB7
ENSG00000100321.10	SYNGR1
ENSG00000100376.7	FAM118A
ENSG00000128408.7	RIBC2
ENSG00000179750.11	APOBEC3B
ENSG00000167074.9	TEF
ENSG00000100299.12	ARSA
ENSG00000077935.12	SMC1B
ENSG00000128383.8	APOBEC3A
ENSG00000100368.8	CSF2RB
ENSG00000100147.8	CCDC134
ENSG00000100417.7	PMM1
ENSG00000183172.6	SMDT1
ENSG00000183569.12	SERHL2
ENSG00000133466.9	C1QTNF6
ENSG00000100364.13	KIAA0930
ENSG00000100266.11	PACSIN2
ENSG00000100116.11	GCAT
ENSG00000100336.13	APOL4
ENSG00000205853.5	RFPL3S
ENSG00000128245.9	YWHAH
ENSG00000100300.12	TSPO
ENSG00000100304.10	TTLL12
ENSG00000100290.2	BIK
ENSG00000100413.12	POLR3H
ENSG00000184117.7	NIPSNAP1
ENSG00000100124.7	ANKRD54
ENSG00000100365.10	NCF4
ENSG00000184983.4	NDUFA6
ENSG00000100243.15	CYB5R3
ENSG00000226328.1	NUP50-DT
ENSG00000075234.12	TTC38
ENSG00000167077.7	MEI1
ENSG00000128274.10	A4GALT
ENSG00000130943.5	PKDREJ
ENSG00000128276.6	RFPL3
ENSG00000100311.12	PDGFB
ENSG00000138964.10	PARVG
ENSG00000189306.6	RRP7A
ENSG00000197182.8	MIRLET7BHG
ENSG00000198951.6	NAGA
ENSG00000198832.6	SELENOM
ENSG00000100154.10	TTC28
ENSG00000205593.5	DENND6B
ENSG00000167065.9	DUSP18
ENSG00000073169.9	SELENOO
ENSG00000100385.8	IL2RB
ENSG00000100197.15	CYP2D6
ENSG00000184164.10	CRELD2
ENSG00000159958.3	TNFRSF13C
ENSG00000128253.9	RFPL2
ENSG00000188511.8	C22orf34
ENSG00000184068.2	SREBF2-AS1
ENSG00000230107.1	nan1071
ENSG00000100427.11	MLC1
ENSG00000260655.1	nan6551
ENSG00000188677.9	PARVB
ENSG00000100099.14	HPS4
ENSG00000100422.9	CERK
ENSG00000243811.2	APOBEC3D
ENSG00000177096.4	PHETA2
ENSG00000185022.7	MAFF
ENSG00000196576.9	PLXNB2
ENSG00000128284.15	APOL3
ENSG00000170638.5	TRABD
ENSG00000183066.10	WBP2NL
ENSG00000100360.10	IFT27
ENSG00000130487.4	KLHDC7B
ENSG00000223704.1	LINC01422
ENSG00000100162.10	CENPM
ENSG00000100297.7	MCM5
ENSG00000025708.8	TYMP
ENSG00000073150.8	PANX2
