gene_name r2_en_2 spr2_en_2 r2_lasso_2 spr2_lasso_2 r2_en_1 spr2_en_1 r2_lasso_1 spr2_lasso_1
nan0651 0.6116565341956068 0.384681578894118 0.6318281448531283 0.37450863241391286 nan nan nan nan
CRYBB2 0.6450256773420644 0.44582149844349217 0.651164853141448 0.46814404432132967 nan nan nan nan
nan0656 0.23265384888395185 0.09649069556669554 0.23195675678027153 0.1387927720107651 nan nan nan nan
CLTCL1 0.007219865861800763 0.008819322634273414 0.015560158605886214 0.01067209662943172 nan nan nan nan
nan1765 0.1284168573153236 0.11952040606585365 0.12573161092815358 0.11469607416694387 nan nan nan nan
nan4773 0.025093366977789612 0.0221921482113173 0.0945174304100667 0.03915883403471695 nan nan nan nan
SLC25A1 0.020239620852458094 0.0472594350086321 0.019107781051294577 0.06611627106983145 nan nan nan nan
CECR7 0.20135392732019045 0.042231946069274856 0.00035640552246234353 0.0016058147396889792 nan nan nan nan
TMEM191A 0.1272053997468451 0.06925207756232686 0.12436913036484258 0.06925207756232686 nan nan nan nan
SNAP29 0.000691453744378173 0.001232419892706974 0.019965462285167195 0.013176342257655717 nan nan nan nan
HDHD5 0.07233668871570656 0.15982801653005274 0.07994790636957619 0.08576523103791502 nan nan nan nan
MICAL3 0.06434494374265304 0.014715591952683734 0.0512419077484746 0.0007432797680475699 nan nan nan nan
TMEM121B 0.07853297050623642 0.13952528379772966 0.07853297050623642 0.13952528379772966 nan nan nan nan
GGT1 0.008560640492389995 0.031572330668510805 0.004552263496664707 0.012913236921612382 nan nan nan nan
COMT 0.24123405581159493 0.25339275365129016 0.21760737851618356 0.17646202398845542 nan nan nan nan
VPREB3 0.0021725130728352054 1.1807685858879263e-06 0.0031478551068001293 1.1807685858879263e-06 nan nan nan nan
BCR 0.0010929243374280789 0.0013073318371053858 0.003999637247920398 0.006513109720848374 nan nan nan nan
DGCR6L nan nan nan nan nan nan nan nan
DNAJB7 0.1975413206167535 0.04652056901191847 0.2478416683751274 0.06392704276322446 nan nan nan nan
SYNGR1 0.3504459926647594 0.16616771090599078 0.4128425096099131 0.2914036859378944 nan nan nan nan
FAM118A 0.2612903549071928 0.11388012920664438 0.23716763760803458 0.11952040606585365 nan nan nan nan
